,Country,Indicator,Inequality,Unit,Value
66,Chile,Stakeholder engagement for developing regulations,Total,Average score,1.3
67,Estonia,Stakeholder engagement for developing regulations,Total,Average score,2.7
68,Israel,Stakeholder engagement for developing regulations,Total,Average score,2.5
69,Latvia,Stakeholder engagement for developing regulations,Total,Average score,2.2
70,Slovenia,Stakeholder engagement for developing regulations,Total,Average score,2.5
71,OECD - Total,Stakeholder engagement for developing regulations,Total,Average score,2.1
72,Austria,Dwellings without basic facilities,Total,Percentage,0.8
73,Belgium,Dwellings without basic facilities,Total,Percentage,0.7
74,Canada,Dwellings without basic facilities,Total,Percentage,0.2
75,Czech Republic,Dwellings without basic facilities,Total,Percentage,0.5
76,Denmark,Dwellings without basic facilities,Total,Percentage,0.5
77,Finland,Dwellings without basic facilities,Total,Percentage,0.4
78,France,Dwellings without basic facilities,Total,Percentage,0.5
79,Germany,Dwellings without basic facilities,Total,Percentage,0.1
80,Greece,Dwellings without basic facilities,Total,Percentage,0.4
81,Hungary,Dwellings without basic facilities,Total,Percentage,3.5
82,Iceland,Dwellings without basic facilities,Total,Percentage,0.0
83,Ireland,Dwellings without basic facilities,Total,Percentage,0.2
84,Italy,Dwellings without basic facilities,Total,Percentage,0.6
85,Japan,Dwellings without basic facilities,Total,Percentage,6.4
86,Korea,Dwellings without basic facilities,Total,Percentage,2.5
87,Luxembourg,Dwellings without basic facilities,Total,Percentage,0.1
88,Mexico,Dwellings without basic facilities,Total,Percentage,25.9
89,Netherlands,Dwellings without basic facilities,Total,Percentage,0.1
90,Norway,Dwellings without basic facilities,Total,Percentage,0.0
91,Poland,Dwellings without basic facilities,Total,Percentage,2.3
92,Portugal,Dwellings without basic facilities,Total,Percentage,0.9
93,Slovak Republic,Dwellings without basic facilities,Total,Percentage,1.5
94,Spain,Dwellings without basic facilities,Total,Percentage,0.3
95,Sweden,Dwellings without basic facilities,Total,Percentage,0.0
96,Switzerland,Dwellings without basic facilities,Total,Percentage,0.0
97,Türkiye,Dwellings without basic facilities,Total,Percentage,4.9
98,United Kingdom,Dwellings without basic facilities,Total,Percentage,0.5
99,United States,Dwellings without basic facilities,Total,Percentage,0.1
100,Brazil,Dwellings without basic facilities,Total,Percentage,6.7
101,Chile,Dwellings without basic facilities,Total,Percentage,9.4
102,Estonia,Dwellings without basic facilities,Total,Percentage,5.7
103,Latvia,Dwellings without basic facilities,Total,Percentage,11.2
104,Russia,Dwellings without basic facilities,Total,Percentage,13.8
105,Slovenia,Dwellings without basic facilities,Total,Percentage,0.2
106,South Africa,Dwellings without basic facilities,Total,Percentage,35.9
107,OECD - Total,Dwellings without basic facilities,Total,Percentage,3.0
108,Australia,Housing expenditure,Total,Percentage,19.4
109,Austria,Housing expenditure,Total,Percentage,20.8
110,Belgium,Housing expenditure,Total,Percentage,20.0
111,Canada,Housing expenditure,Total,Percentage,22.9
112,Czech Republic,Housing expenditure,Total,Percentage,23.4
113,Denmark,Housing expenditure,Total,Percentage,23.3
114,Finland,Housing expenditure,Total,Percentage,23.1
115,France,Housing expenditure,Total,Percentage,20.7
116,Germany,Housing expenditure,Total,Percentage,20.0
117,Greece,Housing expenditure,Total,Percentage,21.8
118,Hungary,Housing expenditure,Total,Percentage,19.9
119,Ireland,Housing expenditure,Total,Percentage,20.6
120,Italy,Housing expenditure,Total,Percentage,22.5
121,Japan,Housing expenditure,Total,Percentage,21.8
122,Korea,Housing expenditure,Total,Percentage,14.7
123,Luxembourg,Housing expenditure,Total,Percentage,20.7
124,Mexico,Housing expenditure,Total,Percentage,17.8
125,Netherlands,Housing expenditure,Total,Percentage,19.6
126,New Zealand,Housing expenditure,Total,Percentage,25.0
127,Norway,Housing expenditure,Total,Percentage,17.7
128,Poland,Housing expenditure,Total,Percentage,21.2
129,Portugal,Housing expenditure,Total,Percentage,19.6
130,Slovak Republic,Housing expenditure,Total,Percentage,27.4
131,Spain,Housing expenditure,Total,Percentage,21.7
132,Sweden,Housing expenditure,Total,Percentage,20.1
133,Switzerland,Housing expenditure,Total,Percentage,21.4
134,Türkiye,Housing expenditure,Total,Percentage,18.9
135,United Kingdom,Housing expenditure,Total,Percentage,23.2
136,United States,Housing expenditure,Total,Percentage,18.3
137,Chile,Housing expenditure,Total,Percentage,18.4
138,Estonia,Housing expenditure,Total,Percentage,17.0
139,Latvia,Housing expenditure,Total,Percentage,20.8
140,Russia,Housing expenditure,Total,Percentage,17.4
141,Slovenia,Housing expenditure,Total,Percentage,18.2
142,South Africa,Housing expenditure,Total,Percentage,18.1
143,OECD - Total,Housing expenditure,Total,Percentage,20.5
144,Australia,Feeling safe walking alone at night,Total,Percentage,67.0
145,Austria,Feeling safe walking alone at night,Total,Percentage,86.0
146,Belgium,Feeling safe walking alone at night,Total,Percentage,56.0
147,Canada,Feeling safe walking alone at night,Total,Percentage,78.0
148,Czech Republic,Feeling safe walking alone at night,Total,Percentage,77.0
149,Denmark,Feeling safe walking alone at night,Total,Percentage,85.0
150,Finland,Feeling safe walking alone at night,Total,Percentage,88.0
151,France,Feeling safe walking alone at night,Total,Percentage,74.0
152,Germany,Feeling safe walking alone at night,Total,Percentage,76.0
153,Greece,Feeling safe walking alone at night,Total,Percentage,69.0
154,Hungary,Feeling safe walking alone at night,Total,Percentage,74.0
155,Iceland,Feeling safe walking alone at night,Total,Percentage,85.0
156,Ireland,Feeling safe walking alone at night,Total,Percentage,76.0
157,Italy,Feeling safe walking alone at night,Total,Percentage,73.0
158,Japan,Feeling safe walking alone at night,Total,Percentage,77.0
159,Korea,Feeling safe walking alone at night,Total,Percentage,82.0
160,Luxembourg,Feeling safe walking alone at night,Total,Percentage,87.0
161,Mexico,Feeling safe walking alone at night,Total,Percentage,42.0
162,Netherlands,Feeling safe walking alone at night,Total,Percentage,83.0
163,New Zealand,Feeling safe walking alone at night,Total,Percentage,66.0
164,Norway,Feeling safe walking alone at night,Total,Percentage,93.0
165,Poland,Feeling safe walking alone at night,Total,Percentage,71.0
166,Portugal,Feeling safe walking alone at night,Total,Percentage,83.0
167,Slovak Republic,Feeling safe walking alone at night,Total,Percentage,76.0
168,Spain,Feeling safe walking alone at night,Total,Percentage,80.0
169,Sweden,Feeling safe walking alone at night,Total,Percentage,79.0
170,Switzerland,Feeling safe walking alone at night,Total,Percentage,86.0
171,Türkiye,Feeling safe walking alone at night,Total,Percentage,59.0
172,United Kingdom,Feeling safe walking alone at night,Total,Percentage,78.0
173,United States,Feeling safe walking alone at night,Total,Percentage,78.0
174,Brazil,Feeling safe walking alone at night,Total,Percentage,45.0
175,Chile,Feeling safe walking alone at night,Total,Percentage,41.0
176,Estonia,Feeling safe walking alone at night,Total,Percentage,79.0
177,Israel,Feeling safe walking alone at night,Total,Percentage,80.0
178,Latvia,Feeling safe walking alone at night,Total,Percentage,72.0
179,Russia,Feeling safe walking alone at night,Total,Percentage,64.0
180,Slovenia,Feeling safe walking alone at night,Total,Percentage,91.0
181,South Africa,Feeling safe walking alone at night,Total,Percentage,40.0
182,OECD - Total,Feeling safe walking alone at night,Total,Percentage,74.0
183,Australia,Feeling safe walking alone at night,Men,Percentage,81.0
184,Austria,Feeling safe walking alone at night,Men,Percentage,89.0
185,Belgium,Feeling safe walking alone at night,Men,Percentage,66.0
186,Canada,Feeling safe walking alone at night,Men,Percentage,88.0
187,Czech Republic,Feeling safe walking alone at night,Men,Percentage,88.0
188,Denmark,Feeling safe walking alone at night,Men,Percentage,94.0
189,Finland,Feeling safe walking alone at night,Men,Percentage,96.0
190,France,Feeling safe walking alone at night,Men,Percentage,78.0
191,Germany,Feeling safe walking alone at night,Men,Percentage,83.0
192,Greece,Feeling safe walking alone at night,Men,Percentage,79.0
193,Hungary,Feeling safe walking alone at night,Men,Percentage,83.0
194,Iceland,Feeling safe walking alone at night,Men,Percentage,93.0
195,Ireland,Feeling safe walking alone at night,Men,Percentage,86.0
196,Italy,Feeling safe walking alone at night,Men,Percentage,79.0
197,Japan,Feeling safe walking alone at night,Men,Percentage,85.0
198,Korea,Feeling safe walking alone at night,Men,Percentage,87.0
199,Luxembourg,Feeling safe walking alone at night,Men,Percentage,89.0
200,Mexico,Feeling safe walking alone at night,Men,Percentage,54.0
201,Netherlands,Feeling safe walking alone at night,Men,Percentage,95.0
202,New Zealand,Feeling safe walking alone at night,Men,Percentage,80.0
203,Norway,Feeling safe walking alone at night,Men,Percentage,98.0
204,Poland,Feeling safe walking alone at night,Men,Percentage,80.0
205,Portugal,Feeling safe walking alone at night,Men,Percentage,92.0
206,Slovak Republic,Feeling safe walking alone at night,Men,Percentage,86.0
207,Spain,Feeling safe walking alone at night,Men,Percentage,86.0
208,Sweden,Feeling safe walking alone at night,Men,Percentage,90.0
209,Switzerland,Feeling safe walking alone at night,Men,Percentage,91.0
210,Türkiye,Feeling safe walking alone at night,Men,Percentage,72.0
211,United Kingdom,Feeling safe walking alone at night,Men,Percentage,80.0
212,United States,Feeling safe walking alone at night,Men,Percentage,88.0
213,Brazil,Feeling safe walking alone at night,Men,Percentage,55.0
214,Chile,Feeling safe walking alone at night,Men,Percentage,53.0
215,Estonia,Feeling safe walking alone at night,Men,Percentage,90.0
216,Israel,Feeling safe walking alone at night,Men,Percentage,83.0
217,Latvia,Feeling safe walking alone at night,Men,Percentage,87.0
218,Russia,Feeling safe walking alone at night,Men,Percentage,74.0
219,Slovenia,Feeling safe walking alone at night,Men,Percentage,95.0
220,South Africa,Feeling safe walking alone at night,Men,Percentage,46.0
221,OECD - Total,Feeling safe walking alone at night,Men,Percentage,82.0
222,Australia,Feeling safe walking alone at night,Women,Percentage,54.0
223,Austria,Feeling safe walking alone at night,Women,Percentage,82.0
224,Belgium,Feeling safe walking alone at night,Women,Percentage,47.0
225,Canada,Feeling safe walking alone at night,Women,Percentage,67.0
226,Czech Republic,Feeling safe walking alone at night,Women,Percentage,67.0
227,Denmark,Feeling safe walking alone at night,Women,Percentage,77.0
228,Finland,Feeling safe walking alone at night,Women,Percentage,80.0
229,France,Feeling safe walking alone at night,Women,Percentage,70.0
230,Germany,Feeling safe walking alone at night,Women,Percentage,69.0
231,Greece,Feeling safe walking alone at night,Women,Percentage,59.0
232,Hungary,Feeling safe walking alone at night,Women,Percentage,65.0
233,Iceland,Feeling safe walking alone at night,Women,Percentage,78.0
234,Ireland,Feeling safe walking alone at night,Women,Percentage,67.0
235,Italy,Feeling safe walking alone at night,Women,Percentage,67.0
236,Japan,Feeling safe walking alone at night,Women,Percentage,69.0
237,Korea,Feeling safe walking alone at night,Women,Percentage,77.0
238,Luxembourg,Feeling safe walking alone at night,Women,Percentage,84.0
239,Mexico,Feeling safe walking alone at night,Women,Percentage,32.0
240,Netherlands,Feeling safe walking alone at night,Women,Percentage,72.0
241,New Zealand,Feeling safe walking alone at night,Women,Percentage,53.0
242,Norway,Feeling safe walking alone at night,Women,Percentage,89.0
243,Poland,Feeling safe walking alone at night,Women,Percentage,63.0
244,Portugal,Feeling safe walking alone at night,Women,Percentage,75.0
245,Slovak Republic,Feeling safe walking alone at night,Women,Percentage,67.0
246,Spain,Feeling safe walking alone at night,Women,Percentage,75.0
247,Sweden,Feeling safe walking alone at night,Women,Percentage,68.0
248,Switzerland,Feeling safe walking alone at night,Women,Percentage,81.0
249,Türkiye,Feeling safe walking alone at night,Women,Percentage,45.0
250,United Kingdom,Feeling safe walking alone at night,Women,Percentage,77.0
251,United States,Feeling safe walking alone at night,Women,Percentage,69.0
252,Brazil,Feeling safe walking alone at night,Women,Percentage,34.0
253,Chile,Feeling safe walking alone at night,Women,Percentage,30.0
254,Estonia,Feeling safe walking alone at night,Women,Percentage,71.0
255,Israel,Feeling safe walking alone at night,Women,Percentage,77.0
256,Latvia,Feeling safe walking alone at night,Women,Percentage,61.0
257,Russia,Feeling safe walking alone at night,Women,Percentage,55.0
258,Slovenia,Feeling safe walking alone at night,Women,Percentage,85.0
259,South Africa,Feeling safe walking alone at night,Women,Percentage,35.0
260,OECD - Total,Feeling safe walking alone at night,Women,Percentage,66.0
261,Austria,Rooms per person,Total,Ratio,1.6
262,Belgium,Rooms per person,Total,Ratio,2.1
263,Canada,Rooms per person,Total,Ratio,2.6
264,Czech Republic,Rooms per person,Total,Ratio,1.5
265,Denmark,Rooms per person,Total,Ratio,1.9
266,Finland,Rooms per person,Total,Ratio,1.9
267,France,Rooms per person,Total,Ratio,1.8
268,Germany,Rooms per person,Total,Ratio,1.8
269,Greece,Rooms per person,Total,Ratio,1.2
270,Hungary,Rooms per person,Total,Ratio,1.4
271,Iceland,Rooms per person,Total,Ratio,1.6
272,Ireland,Rooms per person,Total,Ratio,2.1
273,Italy,Rooms per person,Total,Ratio,1.4
274,Japan,Rooms per person,Total,Ratio,1.9
275,Korea,Rooms per person,Total,Ratio,1.5
276,Luxembourg,Rooms per person,Total,Ratio,2.0
277,Mexico,Rooms per person,Total,Ratio,1.1
278,Netherlands,Rooms per person,Total,Ratio,2.0
279,New Zealand,Rooms per person,Total,Ratio,2.4
280,Norway,Rooms per person,Total,Ratio,2.1
281,Poland,Rooms per person,Total,Ratio,1.1
282,Portugal,Rooms per person,Total,Ratio,1.7
283,Slovak Republic,Rooms per person,Total,Ratio,1.1
284,Spain,Rooms per person,Total,Ratio,1.9
285,Sweden,Rooms per person,Total,Ratio,1.7
286,Switzerland,Rooms per person,Total,Ratio,1.9
287,Türkiye,Rooms per person,Total,Ratio,1.0
288,United Kingdom,Rooms per person,Total,Ratio,2.0
289,United States,Rooms per person,Total,Ratio,2.4
290,Chile,Rooms per person,Total,Ratio,1.9
291,Estonia,Rooms per person,Total,Ratio,1.7
292,Israel,Rooms per person,Total,Ratio,1.2
293,Latvia,Rooms per person,Total,Ratio,1.2
294,Russia,Rooms per person,Total,Ratio,1.0
295,Slovenia,Rooms per person,Total,Ratio,1.6
296,OECD - Total,Rooms per person,Total,Ratio,1.7
297,Australia,Household net adjusted disposable income,Total,US Dollar,37433.0
298,Austria,Household net adjusted disposable income,Total,US Dollar,37001.0
299,Belgium,Household net adjusted disposable income,Total,US Dollar,34884.0
300,Canada,Household net adjusted disposable income,Total,US Dollar,34421.0
301,Czech Republic,Household net adjusted disposable income,Total,US Dollar,26664.0
302,Denmark,Household net adjusted disposable income,Total,US Dollar,33774.0
303,Finland,Household net adjusted disposable income,Total,US Dollar,33471.0
304,France,Household net adjusted disposable income,Total,US Dollar,34375.0
305,Germany,Household net adjusted disposable income,Total,US Dollar,38971.0
306,Greece,Household net adjusted disposable income,Total,US Dollar,20791.0
307,Hungary,Household net adjusted disposable income,Total,US Dollar,21026.0
308,Ireland,Household net adjusted disposable income,Total,US Dollar,29488.0
309,Italy,Household net adjusted disposable income,Total,US Dollar,29431.0
310,Japan,Household net adjusted disposable income,Total,US Dollar,28872.0
311,Korea,Household net adjusted disposable income,Total,US Dollar,24590.0
312,Luxembourg,Household net adjusted disposable income,Total,US Dollar,44773.0
313,Mexico,Household net adjusted disposable income,Total,US Dollar,16269.0
314,Netherlands,Household net adjusted disposable income,Total,US Dollar,34984.0
315,New Zealand,Household net adjusted disposable income,Total,US Dollar,39024.0
316,Norway,Household net adjusted disposable income,Total,US Dollar,39144.0
317,Poland,Household net adjusted disposable income,Total,US Dollar,23675.0
318,Portugal,Household net adjusted disposable income,Total,US Dollar,24877.0
319,Slovak Republic,Household net adjusted disposable income,Total,US Dollar,21149.0
320,Spain,Household net adjusted disposable income,Total,US Dollar,27155.0
321,Sweden,Household net adjusted disposable income,Total,US Dollar,33730.0
322,Switzerland,Household net adjusted disposable income,Total,US Dollar,39697.0
323,United Kingdom,Household net adjusted disposable income,Total,US Dollar,33049.0
324,United States,Household net adjusted disposable income,Total,US Dollar,51147.0
325,Estonia,Household net adjusted disposable income,Total,US Dollar,23784.0
326,Latvia,Household net adjusted disposable income,Total,US Dollar,19783.0
327,Russia,Household net adjusted disposable income,Total,US Dollar,19546.0
328,Slovenia,Household net adjusted disposable income,Total,US Dollar,25250.0
329,South Africa,Household net adjusted disposable income,Total,US Dollar,9338.0
330,OECD - Total,Household net adjusted disposable income,Total,US Dollar,30490.0
331,Australia,Household net wealth,Total,US Dollar,528768.0
332,Austria,Household net wealth,Total,US Dollar,309637.0
333,Belgium,Household net wealth,Total,US Dollar,447607.0
334,Canada,Household net wealth,Total,US Dollar,478240.0
335,Denmark,Household net wealth,Total,US Dollar,149864.0
336,Finland,Household net wealth,Total,US Dollar,230032.0
337,France,Household net wealth,Total,US Dollar,298639.0
338,Germany,Household net wealth,Total,US Dollar,304317.0
339,Greece,Household net wealth,Total,US Dollar,148323.0
340,Hungary,Household net wealth,Total,US Dollar,150296.0
341,Ireland,Household net wealth,Total,US Dollar,370341.0
342,Italy,Household net wealth,Total,US Dollar,295020.0
343,Japan,Household net wealth,Total,US Dollar,294735.0
344,Korea,Household net wealth,Total,US Dollar,362340.0
345,Luxembourg,Household net wealth,Total,US Dollar,941162.0
346,Netherlands,Household net wealth,Total,US Dollar,248599.0
347,New Zealand,Household net wealth,Total,US Dollar,514162.0
348,Norway,Household net wealth,Total,US Dollar,268358.0
349,Poland,Household net wealth,Total,US Dollar,233221.0
350,Portugal,Household net wealth,Total,US Dollar,255303.0
351,Slovak Republic,Household net wealth,Total,US Dollar,171425.0
352,Spain,Household net wealth,Total,US Dollar,366534.0
353,United Kingdom,Household net wealth,Total,US Dollar,524422.0
354,United States,Household net wealth,Total,US Dollar,684500.0
355,Chile,Household net wealth,Total,US Dollar,135787.0
356,Estonia,Household net wealth,Total,US Dollar,188627.0
357,Latvia,Household net wealth,Total,US Dollar,79245.0
358,Slovenia,Household net wealth,Total,US Dollar,233286.0
359,OECD - Total,Household net wealth,Total,US Dollar,323960.0
360,Australia,Employment rate,Total,Percentage,73.0
361,Austria,Employment rate,Total,Percentage,72.0
362,Belgium,Employment rate,Total,Percentage,65.0
363,Canada,Employment rate,Total,Percentage,70.0
364,Czech Republic,Employment rate,Total,Percentage,74.0
365,Denmark,Employment rate,Total,Percentage,74.0
366,Finland,Employment rate,Total,Percentage,72.0
367,France,Employment rate,Total,Percentage,65.0
368,Germany,Employment rate,Total,Percentage,77.0
369,Greece,Employment rate,Total,Percentage,56.0
370,Hungary,Employment rate,Total,Percentage,70.0
371,Iceland,Employment rate,Total,Percentage,78.0
372,Ireland,Employment rate,Total,Percentage,68.0
373,Italy,Employment rate,Total,Percentage,58.0
374,Japan,Employment rate,Total,Percentage,77.0
375,Korea,Employment rate,Total,Percentage,66.0
376,Luxembourg,Employment rate,Total,Percentage,67.0
377,Mexico,Employment rate,Total,Percentage,59.0
378,Netherlands,Employment rate,Total,Percentage,78.0
379,New Zealand,Employment rate,Total,Percentage,77.0
380,Norway,Employment rate,Total,Percentage,75.0
381,Poland,Employment rate,Total,Percentage,69.0
382,Portugal,Employment rate,Total,Percentage,69.0
383,Slovak Republic,Employment rate,Total,Percentage,68.0
384,Spain,Employment rate,Total,Percentage,62.0
385,Sweden,Employment rate,Total,Percentage,75.0
386,Switzerland,Employment rate,Total,Percentage,80.0
387,Türkiye,Employment rate,Total,Percentage,48.0
388,United Kingdom,Employment rate,Total,Percentage,75.0
389,United States,Employment rate,Total,Percentage,67.0
390,Brazil,Employment rate,Total,Percentage,57.0
391,Chile,Employment rate,Total,Percentage,56.0
392,Estonia,Employment rate,Total,Percentage,74.0
393,Israel,Employment rate,Total,Percentage,67.0
394,Latvia,Employment rate,Total,Percentage,72.0
395,Russia,Employment rate,Total,Percentage,70.0
396,Slovenia,Employment rate,Total,Percentage,71.0
397,South Africa,Employment rate,Total,Percentage,39.0
398,OECD - Total,Employment rate,Total,Percentage,66.0
399,Australia,Employment rate,Men,Percentage,77.0
400,Austria,Employment rate,Men,Percentage,76.0
401,Belgium,Employment rate,Men,Percentage,68.0
402,Canada,Employment rate,Men,Percentage,73.0
403,Czech Republic,Employment rate,Men,Percentage,81.0
404,Denmark,Employment rate,Men,Percentage,77.0
405,Finland,Employment rate,Men,Percentage,74.0
406,France,Employment rate,Men,Percentage,68.0
407,Germany,Employment rate,Men,Percentage,80.0
408,Greece,Employment rate,Men,Percentage,65.0
409,Hungary,Employment rate,Men,Percentage,77.0
410,Iceland,Employment rate,Men,Percentage,80.0
411,Ireland,Employment rate,Men,Percentage,73.0
412,Italy,Employment rate,Men,Percentage,67.0
413,Japan,Employment rate,Men,Percentage,84.0
414,Korea,Employment rate,Men,Percentage,75.0
415,Luxembourg,Employment rate,Men,Percentage,70.0
416,Mexico,Employment rate,Men,Percentage,76.0
417,Netherlands,Employment rate,Men,Percentage,82.0
418,New Zealand,Employment rate,Men,Percentage,81.0
419,Norway,Employment rate,Men,Percentage,77.0
420,Poland,Employment rate,Men,Percentage,76.0
421,Portugal,Employment rate,Men,Percentage,72.0
422,Slovak Republic,Employment rate,Men,Percentage,73.0
423,Spain,Employment rate,Men,Percentage,67.0
424,Sweden,Employment rate,Men,Percentage,77.0
425,Switzerland,Employment rate,Men,Percentage,84.0
426,Türkiye,Employment rate,Men,Percentage,65.0
427,United Kingdom,Employment rate,Men,Percentage,79.0
428,United States,Employment rate,Men,Percentage,72.0
429,Brazil,Employment rate,Men,Percentage,67.0
430,Chile,Employment rate,Men,Percentage,65.0
431,Estonia,Employment rate,Men,Percentage,76.0
432,Israel,Employment rate,Men,Percentage,69.0
433,Latvia,Employment rate,Men,Percentage,73.0
434,Russia,Employment rate,Men,Percentage,75.0
435,Slovenia,Employment rate,Men,Percentage,74.0
436,South Africa,Employment rate,Men,Percentage,44.0
437,OECD - Total,Employment rate,Men,Percentage,74.0
438,Australia,Employment rate,Women,Percentage,69.0
439,Austria,Employment rate,Women,Percentage,68.0
440,Belgium,Employment rate,Women,Percentage,61.0
441,Canada,Employment rate,Women,Percentage,67.0
442,Czech Republic,Employment rate,Women,Percentage,67.0
443,Denmark,Employment rate,Women,Percentage,71.0
444,Finland,Employment rate,Women,Percentage,71.0
445,France,Employment rate,Women,Percentage,62.0
446,Germany,Employment rate,Women,Percentage,73.0
447,Greece,Employment rate,Women,Percentage,47.0
448,Hungary,Employment rate,Women,Percentage,62.0
449,Iceland,Employment rate,Women,Percentage,75.0
450,Ireland,Employment rate,Women,Percentage,63.0
451,Italy,Employment rate,Women,Percentage,49.0
452,Japan,Employment rate,Women,Percentage,71.0
453,Korea,Employment rate,Women,Percentage,57.0
454,Luxembourg,Employment rate,Women,Percentage,64.0
455,Mexico,Employment rate,Women,Percentage,45.0
456,Netherlands,Employment rate,Women,Percentage,74.0
457,New Zealand,Employment rate,Women,Percentage,72.0
458,Norway,Employment rate,Women,Percentage,73.0
459,Poland,Employment rate,Women,Percentage,61.0
460,Portugal,Employment rate,Women,Percentage,67.0
461,Slovak Republic,Employment rate,Women,Percentage,62.0
462,Spain,Employment rate,Women,Percentage,57.0
463,Sweden,Employment rate,Women,Percentage,74.0
464,Switzerland,Employment rate,Women,Percentage,76.0
465,Türkiye,Employment rate,Women,Percentage,30.0
466,United Kingdom,Employment rate,Women,Percentage,72.0
467,United States,Employment rate,Women,Percentage,62.0
468,Brazil,Employment rate,Women,Percentage,47.0
469,Chile,Employment rate,Women,Percentage,47.0
470,Estonia,Employment rate,Women,Percentage,72.0
471,Israel,Employment rate,Women,Percentage,65.0
472,Latvia,Employment rate,Women,Percentage,70.0
473,Russia,Employment rate,Women,Percentage,65.0
474,Slovenia,Employment rate,Women,Percentage,68.0
475,South Africa,Employment rate,Women,Percentage,33.0
476,OECD - Total,Employment rate,Women,Percentage,59.0
477,Australia,Long-term unemployment rate,Total,Percentage,1.0
478,Austria,Long-term unemployment rate,Total,Percentage,1.3
479,Belgium,Long-term unemployment rate,Total,Percentage,2.3
480,Canada,Long-term unemployment rate,Total,Percentage,0.5
