"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",8,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",8,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",8.1,"B","Break"
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",8.1,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",8.1,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",8.1,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",8.1,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",8,,
"CAN","Canada","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.9,,
"CZE","Czech Republic","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",19.0943988588962,,
"CZE","Czech Republic","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.88729368559138,,
"CZE","Czech Republic","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.4,,
"CZE","Czech Republic","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.3,,
"DNK","Denmark","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",52.4889071230595,,
"DNK","Denmark","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",8.10003586973148,,
"DNK","Denmark","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.7,,
"DNK","Denmark","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.3,,
"FIN","Finland","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",47.4339855404745,,
"FIN","Finland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",8.11792347229478,,
"FIN","Finland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",8.2,,
"FIN","Finland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",8,,
"FRA","France","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",9.89039730994428,,
"FRA","France","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.00973649984945,,
"FRA","France","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.2,,
"FRA","France","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",6.7,,
"DEU","Germany","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",22.568087244831,,
"DEU","Germany","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.21043912416977,,
"DEU","Germany","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.3,,
"DEU","Germany","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.2,,
"GRC","Greece","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",70.1565055917127,,
"GRC","Greece","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.19047264307268,,
"GRC","Greece","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",6.4,,
"GRC","Greece","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",6.7,,
"HUN","Hungary","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",23.2425277357562,,
"HUN","Hungary","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.12776788613445,,
"HUN","Hungary","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",6.5,,
"HUN","Hungary","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",6.5,,
"ISL","Iceland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.94688025148089,,
"ISL","Iceland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.9,,
"IRL","Ireland","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",28.5112159987793,,
"IRL","Ireland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.44182744270039,,
"IRL","Ireland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",8,,
"IRL","Ireland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.2,,
"ITA","Italy","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",17.2501197288331,,
"ITA","Italy","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.55628241113364,,
"ITA","Italy","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7,,
"ITA","Italy","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.1,,
"JPN","Japan","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",23.3596047347337,,
"JPN","Japan","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",5.9,,
"JPN","Japan","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",5.91,,
"JPN","Japan","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",5.8,,
"JPN","Japan","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2022","2022",5.88,,
"KOR","Korea","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",38.9360727624314,,
"KOR","Korea","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",5.8,,
"KOR","Korea","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",5.7,,
"KOR","Korea","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",5.9,,
"KOR","Korea","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",6,,
"KOR","Korea","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",6,,
"KOR","Korea","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",6.2,,
"MEX","Mexico","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",29.8780708778573,,
"MEX","Mexico","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",8.37412788813597,,
"NLD","Netherlands","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",39.4492148492876,,
"NLD","Netherlands","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.82456813638285,,
"NLD","Netherlands","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.7,,
"NLD","Netherlands","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.6,,
"NZL","New Zealand","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",43.1392904946881,,
"NZL","New Zealand","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",7.8,,
"NZL","New Zealand","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",7.9,,
"NZL","New Zealand","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.7,,
"NZL","New Zealand","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.6,,
"NOR","Norway","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",49.7901406958912,,
"NOR","Norway","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.89679107374704,,
"NOR","Norway","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",8,,
"POL","Poland","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",36.6670160761706,,
"POL","Poland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.30820392762706,,
"POL","Poland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.8,,
"POL","Poland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.5,,
"PRT","Portugal","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.12742349990141,,
"PRT","Portugal","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",6.6,,
"PRT","Portugal","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",6.9,,
"SVK","Slovak Republic","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",21.7228248058195,,
"SVK","Slovak Republic","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.93204592650686,,
"SVK","Slovak Republic","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.1,,
"SVK","Slovak Republic","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.1,,
"ESP","Spain","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",23.0651328904597,,
"ESP","Spain","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.88751219770298,,
"ESP","Spain","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.3,,
"ESP","Spain","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.2,,
"SWE","Sweden","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",47.8604161893092,,
"SWE","Sweden","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.8994936686507,,
"SWE","Sweden","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.8,,
"SWE","Sweden","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.5,,
"CHE","Switzerland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",8.09419493882786,,
"CHE","Switzerland","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",8,,
"TUR","Türkiye","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",21.044403097928,,
"TUR","Türkiye","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",5.7,,
"TUR","Türkiye","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",5.8,,
"GBR","United Kingdom","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",7.65,,
"GBR","United Kingdom","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",7.34,,
"GBR","United Kingdom","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.52,,
"USA","United States","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",44.5077052385819,,
"USA","United States","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",40.8998271764586,,
"CHL","Chile","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",61.2007857510236,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",26.3585933387814,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.48182388021995,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.1,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.3,,
"ISR","Israel","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",28.9042012502451,,
"ISR","Israel","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",8.014848,,
"LTU","Lithuania","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",66.6525480297943,,
"LTU","Lithuania","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",6.67934584012697,,
"LTU","Lithuania","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",6.3,,
"LTU","Lithuania","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",6.9,,
"SVN","Slovenia","HOR","Gap between groups (horizontal inequality)","8_1","Having a say in government","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",12.5933242087011,,
"SVN","Slovenia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",7.03294235602366,,
"SVN","Slovenia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",7.3,,
"SVN","Slovenia","HOR","Gap between groups (horizontal inequality)","11_1","Life satisfaction","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",7.6,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2004","2004",70.1963015735468,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2005","2005",72.1911170707021,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2006","2006",75.6968647667693,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2007","2007",75.4439384644546,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2008","2008",75.1398401952393,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2009","2009",72.1654037163976,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2010","2010",69.3842839462706,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2011","2011",70.6136002197078,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2012","2012",72.0754701786565,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2013","2013",72.7991345829764,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2014","2014",72.614387358307,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2015","2015",74.820663995236,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2016","2016",74.2667907676976,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2017","2017",76.532157320112,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2018","2018",76.7582104170332,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2019","2019",77.6421298083234,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2020","2020",78.1904488629976,,
"EST","Estonia","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2021","2021",79.0117341017566,"B","Break"
"GRC","Greece","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2004","2004",50.7138438368909,,
"GRC","Greece","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2005","2005",51.8137460803957,,
"GRC","Greece","HOR","Gap between groups (horizontal inequality)","2_1","Employment rate","CWB","Current Well-being","FEMALE","Women","TOT","Total population","TOT","Total population","2006","2006",53.513065874891,,
